State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
Odisha,Malkangiri,Kalimela,chc,Kalimela,,18.07243,81.75151,Y,Rural,Public
Odisha,Malkangiri,Korukunda,chc,Chitrakonda,,18.11,82.11,Y,Rural,Public
Odisha,Malkangiri,Podia,chc,Podia,,18.17412,81.54366,Y,Rural,Public
Odisha,Malkangiri,Korukunda,chc,Korukonda,,18.27866,81.98146,Y,Rural,Public
Odisha,Malkangiri,Kudumulugumma,chc,Kudumuluguma,,18.37251,82.18591,Y,Rural,Public
Odisha,Malkangiri,Malkangiri,chc,Pandripani,,18.43372,82.0153,Y,Rural,Public
Odisha,Malkangiri,Khairput,chc,Khairput,,18.48,82.22,Y,Rural,Public
Odisha,Malkangiri,Mathili,chc,Mathili,,18.54,82.2,Y,Rural,Public
Odisha,Koraput,Similiguda,chc,CHC Sunabeda,,18.5472,82.7932,Y,Urban,Public
Odisha,Koraput,Lamptaput,chc,Lamtaput,,18.55053,82.48182,Y,Rural,Public
Odisha,Koraput,Pottangi,chc,Pottangi,,18.55894,82.97139,Y,Rural,Public
Odisha,Koraput,Nandapur,chc,Nandapur,,18.56297,82.7402,Y,Rural,Public
Odisha,Koraput,Similiguda,chc,Kunduli,,18.59874,82.89643,Y,Rural,Public
Odisha,Koraput,Boipariguda,chc,Boipariguda,,18.75051,82.43228,Y,Rural,Public
Odisha,Koraput,Koraput,chc,Mathalput,,18.76449,82.9229,Y,Rural,Public
Odisha,Gajapati,Gosani,chc,Gurandi,,18.81861,84.22362,Y,Rural,Public
Odisha,Gajapati,Kasinagar,chc,Kashinagar,,18.85097,83.87415,Y,Rural,Public
Odisha,Koraput,Narayanpatna,chc,Narayanpatna,,18.87591,83.17459,Y,Rural,Public
Odisha,Koraput,Kundra,chc,Kundura,,18.91985,82.38064,Y,Rural,Public
Odisha,Koraput,Bandhugaon,chc,Bandhugaon,,18.93736,83.24871,Y,Rural,Public
Odisha,Koraput,Jeypore,chc,Rabanaguda,,18.95742,82.55618,Y,Rural,Public
Odisha,Gajapati,Rayagada,chc,Rayagada,,18.97188,84.15264,Y,Rural,Public
