SrNo,Health Facility Name,pincode,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Unnamed: 10
1035,Badmal,768105,21.1082,84.07736,0,Primary Health Centre,Odisha,Sambalpur,Rairakhol P.S.,
1036,Kadaligarh,768106,20.95107,84.31084,0,Primary Health Centre,Odisha,Sambalpur,Rairakhol P.S.,
1037,Sangramal,768200,21.5329,84.18524,0,Primary Health Centre,Odisha,Sambalpur,Dhama P.S.,
1038,Maneswar,768005,21.41479,84.03514,0,Primary Health Centre,Odisha,Sambalpur,Dhama P.S.,
1039,GOVINDPUR,768221,22.04549,84.29027,0,Community Health Center,Odisha,Sambalpur,Govindpur P.S.,
1040,BABUNIKTIMAL,768228,21.86672,84.46085,0,Primary Health Centre,Odisha,Sambalpur,Govindpur P.S.,
1041,Dhama,768113,21.26004,83.92458,0,Primary Health Centre,Odisha,Sambalpur,Dhama P.S.,
1042,BURBUDA,768221,22.1156,84.31715,0,Primary Health Centre,Odisha,Sambalpur,Govindpur P.S.,
1043,KESEIBAHAL,768228,21.91254,84.39531,0,Primary Health Centre,Odisha,Sambalpur,Govindpur P.S.,
1044,JARABAGA,768228,21.95675,84.45403,0,Primary Health Centre,Odisha,Sambalpur,Govindpur P.S.,
1046,MAHULPALI,768321,21.86084,84.41338,0,Primary Health Centre,Odisha,Sambalpur,Govindpur P.S.,
1048,BABUKHINDA,768212,21.73493,83.99474,0,Primary Health Centre,Odisha,Sambalpur,Katarbaga P.S.,
1050,CHAUNRPUR,768005,21.43657,83.97003,0,Primary Health Centre,Odisha,Sambalpur,Burla P.S.,
1051,DHANKAUDA,768006,21.392582,83.913273,0,Primary Health Centre,Odisha,Sambalpur,Burla P.S.,
1052,DHANUPALI,768005,21.485679,21.485679,0,Primary Health Centre,Odisha,Sambalpur,Burla P.S.,
1053,kuturachuan,768222,21.74096,84.29908,0,Primary Health Centre,Odisha,Sambalpur,Kochinda P.S.,
1054,gochara phc,768222,21.79868,84.40981,0,Primary Health Centre,Odisha,Sambalpur,Kochinda P.S.,
1055,BATGAON PHC NEW,768106,21.24157,84.65826,0,Primary Health Centre,Odisha,Sambalpur,Rairakhol P.S.,
1056,GIRISH CHANDRAPUR PHC NEW,768106,21.3194,84.3827,0,Primary Health Centre,Odisha,Sambalpur,Rairakhol P.S.,
1057,JAMJURI SUB CENTER,768106,21.23827,84.71197,0,SubCentre,Odisha,Sambalpur,Rairakhol P.S.,
1059,BANJARI,768107,21.59583,84.43338,0,Primary Health Centre,Odisha,Sambalpur,Jamankira P.S.,
1060,JAMANKIRA,768107,21.53325,84.38342,0,Primary Health Centre,Odisha,Sambalpur,Jamankira P.S.,
1061,KENADHIPA,768107,21.64749,84.24001,0,Primary Health Centre,Odisha,Sambalpur,Jamankira P.S.,
1062,KULUNDI,768107,21.43922,84.19505,0,Primary Health Centre,Odisha,Sambalpur,Jamankira P.S.,
1069,HATIBARI,768105,21.3313,84.10079,0,Primary Health Centre,Odisha,Sambalpur,Jujomura P.S.,
1070,MEGHPAL,768105,21.35513,84.24712,0,Primary Health Centre,Odisha,Sambalpur,Jujomura P.S.,
1177,Municipality Dispensary,758002,21.62938,85.5814,0,Urban Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1178,Padampur CHC,758013,21.72423,85.58954,0,Community Health Center,Odisha,Kendujhar,Kendujhar Town P.S.,
1179,Basudevpur CHC,758047,22.02698,85.51892,0,Community Health Center,Odisha,Kendujhar,Barbil P.S.,
