state,district,latitude,longitude,water_bodies_count,coastal_exposure,pre_monsoon_water_table_m_bgl,post_monsoon_water_table_m_bgl,seasonal_rise_m,monsoon_rainfall_mm,river_proximity_km,urban_drainage_stress,wetland_buffer_index,rainfall_scenario,flood_risk_score
Odisha,Angul,20.89133,85.0315,75547,0,3.3,1.97,1.34,120,6.36,0.781,0.19,normal,29.63
Odisha,Angul,20.8263,85.30895,90464,0,2.47,1.07,1.4,120,15.65,0.715,0.244,normal,35.92
Odisha,Angul,20.5754,84.95586,91349,0,4.37,3.58,0.79,120,12.13,0.273,0.422,normal,31.62
Odisha,Angul,21.02944,85.05265,98413,0,7.51,6.49,1.02,120,4.44,0.78,0.46,normal,32.07
Odisha,Angul,20.96209,85.09126,80839,0,2.11,0.45,1.66,120,12.31,0.295,0.462,normal,31.73
Odisha,Angul,20.84573,85.13415,93120,0,5.01,2.21,2.8,120,4.28,0.319,0.75,normal,38.95
Odisha,Angul,20.74883,85.0961,94455,0,7.06,6.27,0.79,120,10.88,0.522,0.852,normal,30.33
Odisha,Angul,20.88899,85.14301,99193,0,7.11,5.85,1.26,120,12.61,0.805,0.143,normal,39.46
Odisha,Angul,20.83335,85.06419,98611,0,6.51,4.75,1.77,120,7.33,0.597,0.786,normal,34.6
Odisha,Angul,20.7379,85.05108,80293,0,3.6,2.34,1.26,120,15.5,0.816,0.453,normal,31.19
Odisha,Angul,20.94384,85.10431,88682,0,4.9,1.91,2.98,120,1.24,0.474,0.481,normal,38.12
Odisha,Angul,20.52179,85.02215,87455,0,6.91,5.04,1.86,120,10.93,0.265,0.141,normal,35.6
Odisha,Angul,20.87536,85.05258,73912,0,4.28,3.73,0.55,120,11.37,0.668,0.728,normal,24.2
Odisha,Angul,20.64683,85.11217,98809,0,3.55,1.08,2.47,120,15.78,0.397,0.746,normal,38.41
Odisha,Angul,20.76639,85.1267,88715,0,2.08,0.2,1.88,120,3.61,0.834,0.781,normal,36.36
Odisha,Angul,20.78824,85.10294,102945,0,7.09,5.03,2.06,120,8.32,0.587,0.56,normal,41.15
Odisha,Angul,21.0147,85.06121,78725,0,6.93,4.19,2.74,120,11.26,0.608,0.377,normal,36.5
Odisha,Angul,20.85074,85.27607,80668,0,8.78,7.08,1.7,120,9.52,0.645,0.437,normal,31.42
Odisha,Angul,21.08196,85.15129,90539,0,8.3,7.04,1.26,120,5.21,0.705,0.433,normal,33.65
Odisha,Angul,20.78288,85.19471,98097,0,5.85,4.16,1.69,120,13.05,0.259,0.326,normal,34.59
Odisha,Angul,20.77298,85.11927,90742,0,3.92,1.11,2.81,120,11.36,0.497,0.285,normal,39.22
Odisha,Angul,20.79011,84.95191,90982,0,1.75,0.2,1.55,120,14.94,0.654,0.564,normal,34.18
Odisha,Balangir,20.60645,83.59847,74826,0,5.68,3.76,1.92,120,3.32,0.492,0.784,normal,33.56
Odisha,Balangir,20.54711,83.24676,91289,0,3.87,1.3,2.56,120,1.88,0.586,0.373,normal,40.43
Odisha,Balangir,20.70884,83.5515,77936,0,3.93,3.4,0.52,120,13.09,0.79,0.186,normal,27.15
Odisha,Balangir,20.66238,83.57019,86472,0,4.25,1.88,2.37,120,10.59,0.552,0.687,normal,34.78
Odisha,Balangir,20.66913,83.50878,101368,0,2.96,2.3,0.66,120,15.99,0.318,0.738,normal,26.45
Odisha,Balangir,20.73252,83.45887,99668,0,8.25,7.72,0.53,120,5.08,0.405,0.177,normal,27.51
Odisha,Balangir,20.82896,83.4993,89268,0,7.59,7.03,0.55,120,7.26,0.432,0.437,normal,30.75
Odisha,Balangir,20.72053,83.44247,77272,0,3.24,2.58,0.66,120,6.02,0.416,0.506,normal,26.88
Odisha,Balangir,20.87398,83.61871,84047,0,1.92,0.2,1.72,120,8.54,0.326,0.567,normal,30.64
Odisha,Balangir,20.55848,83.77601,99133,0,3.98,1.76,2.23,120,4.88,0.519,0.85,normal,35.52
Odisha,Balangir,20.66915,83.63581,91144,0,6.4,5.15,1.25,120,5.83,0.305,0.411,normal,32.85
Odisha,Balangir,20.84578,83.48094,82436,0,1.65,0.3,1.35,120,1.77,0.409,0.779,normal,29.66
Odisha,Balangir,20.62918,83.29979,93706,0,1.91,1.18,0.73,120,11.14,0.353,0.657,normal,29.26
Odisha,Balangir,20.69359,83.49937,107287,0,3.09,0.78,2.31,120,10.32,0.68,0.242,normal,44.55
Odisha,Balangir,20.69125,83.54905,91174,0,2.99,0.2,2.79,120,13.86,0.392,0.238,normal,37.1
Odisha,Balangir,20.64311,83.43953,93609,0,2.9,2.18,0.72,120,14.14,0.426,0.381,normal,27.45
Odisha,Balangir,20.47419,83.50459,104812,0,8.11,7.01,1.09,120,5.91,0.807,0.766,normal,36.97
Odisha,Balangir,20.70269,83.39893,79204,0,5.4,4.66,0.74,120,9.89,0.441,0.207,normal,29.88
Odisha,Balangir,20.78173,83.65976,86677,0,2.26,0.5,1.76,120,13.76,0.894,0.577,normal,33.95
Odisha,Balangir,20.4932,83.39277,98600,0,1.96,1.17,0.79,120,12.13,0.256,0.62,normal,29.51
Odisha,Balangir,20.6064,83.46332,86993,0,4.64,3.58,1.06,120,9.89,0.508,0.732,normal,30.18
Odisha,Balangir,20.69631,83.5799,96620,0,3.82,3.25,0.58,120,5.38,0.231,0.576,normal,32.98
Odisha,Balasore,21.62962,87.16297,94695,1,1.19,0.2,0.99,120,2.35,0.547,0.848,normal,45.23
Odisha,Balasore,21.66042,86.79001,107046,1,7.07,5.52,1.56,120,12.34,0.463,0.782,normal,47.72
Odisha,Balasore,21.40353,86.96063,105832,1,1.82,0.2,1.62,120,7.98,0.682,0.711,normal,47.68
Odisha,Balasore,21.44594,86.69577,106131,1,4.24,1.89,2.35,120,8.2,0.62,0.772,normal,49.83
Odisha,Balasore,21.4754,87.07887,108139,1,7.54,6.55,0.99,120,12.91,0.256,0.409,normal,42.33
Odisha,Balasore,21.52337,86.96898,110349,1,4.9,3.45,1.45,120,13.35,0.225,0.702,normal,46.28
Odisha,Balasore,21.56625,86.96622,110947,1,6.34,3.03,3.32,120,11.56,0.565,0.563,normal,51.53
Odisha,Balasore,21.61276,86.74374,93331,1,7.52,5.89,1.63,120,13.11,0.893,0.545,normal,47.81
Odisha,Balasore,21.4266,86.89145,89660,1,4.23,2.87,1.36,120,8.66,0.34,0.203,normal,39.79
Odisha,Balasore,21.58223,87.06328,108628,1,5.24,3.58,1.66,120,6.2,0.847,0.692,normal,48.13
Odisha,Balasore,21.49712,86.75168,103740,1,5.79,4.6,1.19,120,1.96,0.435,0.724,normal,46.44
Odisha,Balasore,21.54144,86.91026,120119,1,7.53,5.16,2.37,120,11.8,0.35,0.333,normal,51.9
Odisha,Balasore,21.2755,86.9117,105309,1,4.95,3.28,1.68,120,15.42,0.391,0.716,normal,46.41
Odisha,Balasore,21.26084,86.77688,110295,1,4.87,3.65,1.22,120,4.12,0.759,0.521,normal,46.9
Odisha,Balasore,21.43738,86.86071,107911,1,3.71,0.76,2.95,120,8.73,0.656,0.439,normal,51.04
Odisha,Balasore,21.52846,86.9578,116403,1,5.97,4.67,1.3,120,7.44,0.37,0.533,normal,45.63
Odisha,Balasore,21.49408,86.82536,100620,1,7.18,3.96,3.23,120,13.68,0.319,0.488,normal,52.5
Odisha,Balasore,21.59094,86.91682,97089,1,2.4,1.54,0.86,120,5.57,0.485,0.41,normal,40.34
Odisha,Balasore,21.41879,87.10529,106779,1,4.21,1.74,2.47,120,4.15,0.746,0.343,normal,51.93
Odisha,Balasore,21.41192,87.02346,84807,1,4.17,2.65,1.52,120,8.59,0.573,0.223,normal,45.91
Odisha,Balasore,21.55229,86.78295,101954,1,2.5,0.76,1.74,120,6.63,0.558,0.864,normal,47.14
Odisha,Balasore,21.55429,86.98348,88758,1,5.65,2.54,3.11,120,3.01,0.352,0.729,normal,50.09
Odisha,Bargarh,21.34989,83.66997,85329,0,5.55,4.34,1.21,120,15.87,0.649,0.368,normal,32.63
Odisha,Bargarh,21.35089,83.47998,94065,0,6.98,5.83,1.15,120,8.59,0.321,0.634,normal,32.92
Odisha,Bargarh,21.11002,83.85948,104633,0,7.6,6.46,1.14,120,0.99,0.74,0.554,normal,37.61
Odisha,Bargarh,21.38159,83.2727,103535,0,2.13,1.29,0.85,120,0.86,0.754,0.691,normal,34.02
Odisha,Bargarh,21.5021,83.74925,105669,0,2.88,1.44,1.43,120,6.93,0.781,0.441,normal,40.05
Odisha,Bargarh,21.24179,83.49406,77353,0,1.83,0.2,1.63,120,6.02,0.458,0.286,normal,30.01
Odisha,Bargarh,21.29625,83.58987,85800,0,2.05,0.2,1.85,120,15.44,0.642,0.793,normal,33.9
Odisha,Bargarh,21.41989,83.46602,83207,0,5.3,3.45,1.85,120,2.27,0.678,0.595,normal,29.2
Odisha,Bargarh,21.04599,83.39509,77267,0,7.37,4.78,2.59,120,0.2,0.575,0.323,normal,46.17
Odisha,Bargarh,21.47897,83.766,84089,0,3.42,1.16,2.26,120,1.21,0.743,0.746,normal,38.25
Odisha,Bargarh,21.38767,83.52359,100352,0,2.03,0.85,1.18,120,7.78,0.626,0.695,normal,34.97
Odisha,Bargarh,21.28453,83.53563,88196,0,2.23,1.37,0.86,120,10.89,0.642,0.316,normal,29.5
Odisha,Bargarh,21.35026,83.64132,92524,0,3.24,1.71,1.52,120,5.05,0.846,0.134,normal,35.82
Odisha,Bargarh,21.32987,83.60108,93033,0,8.79,7.53,1.26,120,14.33,0.474,0.161,normal,31.09
Odisha,Bargarh,21.43909,83.72097,85472,0,3.16,2.17,0.99,120,13.5,0.633,0.554,normal,35.18
Odisha,Bargarh,21.25619,83.5378,92775,0,5.32,3.67,1.65,120,6.75,0.28,0.785,normal,33.0
Odisha,Bargarh,21.30902,83.92355,85479,0,5.72,4.3,1.41,120,15.07,0.628,0.567,normal,34.34
Odisha,Bargarh,21.28854,83.47545,90220,0,6.34,4.16,2.17,120,2.84,0.463,0.74,normal,34.97
Odisha,Bargarh,21.28321,83.62823,95067,0,2.58,0.2,2.38,120,10.92,0.363,0.329,normal,39.07
Odisha,Bargarh,21.31259,83.75694,87563,0,4.18,2.52,1.66,120,3.5,0.644,0.66,normal,31.52
Odisha,Bargarh,21.33158,83.61632,80959,0,7.53,6.19,1.34,120,14.42,0.441,0.736,normal,29.69
Odisha,Bargarh,21.20493,83.66528,88168,0,7.34,4.49,2.86,120,7.92,0.784,0.807,normal,41.91
Odisha,Bhadrak,20.8987,86.45908,110129,1,4.37,3.16,1.21,120,4.26,0.84,0.155,normal,50.15
Odisha,Bhadrak,20.93725,86.46758,86492,1,4.2,2.38,1.82,120,11.2,0.685,0.786,normal,45.39
Odisha,Bhadrak,21.21899,86.46262,90193,1,1.88,0.2,1.68,120,6.81,0.325,0.721,normal,40.59
Odisha,Bhadrak,21.14855,86.37246,99403,1,5.65,3.35,2.3,120,13.24,0.79,0.331,normal,49.04
Odisha,Bhadrak,21.1835,86.52787,92407,1,4.55,1.65,2.9,120,1.54,0.415,0.829,normal,50.27
Odisha,Bhadrak,21.2972,86.70054,89604,1,6.94,5.25,1.69,120,12.38,0.462,0.225,normal,46.08
Odisha,Bhadrak,21.01947,86.53058,104461,1,1.87,0.44,1.44,120,14.09,0.824,0.298,normal,45.57
Odisha,Bhadrak,21.1141,86.38127,107826,1,2.04,0.2,1.84,120,0.82,0.569,0.299,normal,51.42
Odisha,Bhadrak,20.91893,86.677,95923,1,7.97,6.21,1.76,120,4.54,0.888,0.463,normal,45.41
Odisha,Bhadrak,21.14966,86.67628,89330,1,5.26,3.81,1.45,120,12.53,0.523,0.17,normal,42.83
Odisha,Bhadrak,21.16477,86.3979,89453,1,1.48,0.2,1.28,120,8.81,0.754,0.155,normal,47.84
Odisha,Bhadrak,21.18493,86.2076,94196,1,6.5,3.26,3.24,120,2.21,0.545,0.515,normal,52.66
