hazard,latitude,longitude,district,risk_score,weight
cyclone,20.84548490743558,85.08128028608766,Angul,45.51,0.455
cyclone,20.85582916354753,85.11400025483772,Angul,43.73,0.437
cyclone,20.836672477456187,85.08774326820073,Angul,46.74,0.467
cyclone,20.878549656815668,85.09268452970507,Angul,42.23,0.422
cyclone,20.723378575081664,83.49977677682949,Balangir,40.08,0.401
cyclone,20.715204149176422,83.50136318806508,Balangir,38.02,0.38
cyclone,20.679708344110917,83.48397206946025,Balangir,42.23,0.422
cyclone,20.687037646179917,83.46960083014793,Balangir,39.42,0.394
cyclone,21.498221954276033,86.9180853330608,Balasore,57.22,0.572
cyclone,21.501976931961508,86.92822726127883,Balasore,57.07,0.571
cyclone,21.48319307402729,86.95338610936015,Balasore,57.24,0.572
cyclone,21.497819625583823,86.93427924084199,Balasore,56.62,0.566
cyclone,21.311577045132804,83.62322696142922,Bargarh,42.95,0.43
cyclone,21.322983423543196,83.59521964934399,Bargarh,44.03,0.44
cyclone,21.337459369798967,83.60218831383943,Bargarh,36.84,0.368
cyclone,21.327144572933303,83.60135823244914,Bargarh,38.03,0.38
cyclone,21.042627898279815,86.48694593083836,Bhadrak,63.86,0.639
cyclone,21.04821382148227,86.50802929962667,Bhadrak,57.14,0.571
cyclone,21.08350803135072,86.50394888502456,Bhadrak,57.26,0.573
cyclone,21.0910259829741,86.49676865416092,Bhadrak,57.33,0.573
cyclone,20.84607634187838,84.34533467350364,Boudh,42.48,0.425
cyclone,20.856486245762408,84.29612493108068,Boudh,42.33,0.423
cyclone,20.835970541296152,84.32436494224288,Boudh,42.71,0.427
cyclone,20.813658043966935,84.30936727374865,Boudh,43.07,0.431
cyclone,20.444216505992983,85.87830327402345,Cuttack,42.16,0.422
cyclone,20.453371518777818,85.88614799991693,Cuttack,51.22,0.512
cyclone,20.45571287260846,85.87520502517984,Cuttack,47.33,0.473
cyclone,20.44701195539623,85.88569689671012,Cuttack,46.47,0.465
cyclone,21.54864258126105,84.69859745223447,Deogarh,44.46,0.445
cyclone,21.535464407192276,84.73274612521784,Deogarh,45.88,0.459
cyclone,21.571092303854954,84.70239049471151,Deogarh,44.3,0.443
cyclone,21.561193414001597,84.73790356022073,Deogarh,46.59,0.466
cyclone,20.67408230616352,85.5965682809649,Dhenkanal,50.39,0.504
cyclone,20.68720211179898,85.61147560859615,Dhenkanal,45.53,0.455
cyclone,20.618756788845236,85.60547860112254,Dhenkanal,47.53,0.475
cyclone,20.66663041902861,85.61523851174518,Dhenkanal,45.86,0.459
cyclone,19.157254594415857,84.16690108955837,Gajapati,58.86,0.589
cyclone,19.160205669000092,84.18392129062786,Gajapati,58.49,0.585
cyclone,19.161941847998175,84.18357191232748,Gajapati,52.09,0.521
cyclone,19.118418138140612,84.16097836453703,Gajapati,55.03,0.55
cyclone,19.306766994551033,84.79354196973983,Ganjam,68.65,0.687
cyclone,19.283320662846027,84.74799490984273,Ganjam,64.75,0.648
cyclone,19.311658279851812,84.77492683197111,Ganjam,64.97,0.65
cyclone,19.291270209095163,84.79854454759234,Ganjam,66.18,0.662
cyclone,20.256593601863145,86.17591591604109,Jagatsinghpur,57.71,0.577
cyclone,20.25763952445634,86.17627796609284,Jagatsinghpur,61.84,0.618
cyclone,20.265650347806236,86.15499936149291,Jagatsinghpur,52.63,0.526
cyclone,20.266258752144118,86.16267259174569,Jagatsinghpur,56.03,0.56
cyclone,20.854015435367256,86.36579786111892,Jajpur,48.54,0.485
cyclone,20.869535166080027,86.34659756533027,Jajpur,47.55,0.476
cyclone,20.87454952013665,86.3561133296755,Jajpur,46.43,0.464
cyclone,20.821902749646103,86.33464817947144,Jajpur,48.56,0.486
cyclone,21.832537308646277,84.00402147819713,Jharsuguda,45.05,0.45
cyclone,21.843488131406005,84.00305980227334,Jharsuguda,40.41,0.404
cyclone,21.819643573277787,84.00512786960545,Jharsuguda,42.22,0.422
cyclone,21.85693068287781,84.03001760196952,Jharsuguda,42.34,0.423
cyclone,19.90872775313026,83.17601731231296,Kalahandi,57.86,0.579
cyclone,19.88393370933053,83.16877635539228,Kalahandi,58.41,0.584
cyclone,19.866621404615604,83.14918574211522,Kalahandi,56.96,0.57
cyclone,19.88799726237428,83.17448265020153,Kalahandi,62.46,0.625
cyclone,20.479277387252214,84.2196043000276,Kandhamal,58.99,0.59
cyclone,20.451382455069858,84.23423497000859,Kandhamal,51.98,0.52
cyclone,20.462068256411744,84.23057793813147,Kandhamal,56.38,0.564
cyclone,20.498996865910215,84.27588790314692,Kandhamal,54.63,0.546
cyclone,20.473100698843254,86.43258554117051,Kendrapara,62.46,0.625
cyclone,20.53326085023321,86.41686489079152,Kendrapara,61.45,0.614
cyclone,20.469544672314946,86.4196838691234,Kendrapara,54.77,0.548
cyclone,20.514127192658947,86.42490265559493,Kendrapara,55.26,0.553
cyclone,21.644701965609613,85.59125153362247,Kendujhar,46.78,0.468
cyclone,21.635653390029656,85.57557629299977,Kendujhar,46.0,0.46
cyclone,21.650033386049884,85.57558890827856,Kendujhar,40.84,0.408
cyclone,21.629754357747682,85.5926299456656,Kendujhar,40.83,0.408
cyclone,20.17826877913538,85.64030433943229,Khordha,50.4,0.504
cyclone,20.188060646901008,85.62104893795684,Khordha,57.75,0.578
cyclone,20.198031417157726,85.64137905167873,Khordha,53.67,0.537
cyclone,20.18020612325007,85.61461323533007,Khordha,53.69,0.537
cyclone,18.832493974806788,82.7214366805715,Koraput,59.19,0.592
cyclone,18.84112191613594,82.73446597080532,Koraput,57.93,0.579
cyclone,18.8090784519873,82.70856486785057,Koraput,61.94,0.619
cyclone,18.796570231380255,82.68749432029938,Koraput,58.6,0.586
cyclone,18.334789184096557,81.87049342110755,Malkangiri,38.94,0.389
cyclone,18.34636250158299,81.8795979060546,Malkangiri,38.7,0.387
cyclone,18.341337659770424,81.91587998491849,Malkangiri,35.02,0.35
cyclone,18.357126809739757,81.91810588763246,Malkangiri,35.11,0.351
cyclone,21.97429108385316,86.73064037658573,Mayurbhanj,52.48,0.525
cyclone,21.93348701433248,86.72118449670778,Mayurbhanj,50.28,0.503
cyclone,21.922323650443055,86.70403861555994,Mayurbhanj,47.76,0.478
cyclone,21.94501955712365,86.71185792690677,Mayurbhanj,49.8,0.498
cyclone,19.244060077111182,82.56705769297727,Nabarangpur,31.64,0.316
cyclone,19.22500533898967,82.53996088002508,Nabarangpur,33.46,0.335
cyclone,19.247014450695758,82.55184595730707,Nabarangpur,34.14,0.341
cyclone,19.226468394739356,82.55714659940027,Nabarangpur,35.97,0.36
cyclone,20.124277682124685,85.07439390538619,Nayagarh,56.06,0.561
cyclone,20.130108300247848,85.09806983318752,Nayagarh,58.78,0.588
cyclone,20.13380897519031,85.10595509127222,Nayagarh,57.03,0.57
cyclone,20.0989776586667,85.09813183481694,Nayagarh,57.0,0.57
cyclone,20.829103739172975,82.53235848809149,Nuapada,39.65,0.396
cyclone,20.794909676515346,82.5280887252488,Nuapada,42.83,0.428
cyclone,20.808340656508587,82.50244712536939,Nuapada,42.85,0.428
cyclone,20.815670000969554,82.55662694119214,Nuapada,46.92,0.469
cyclone,19.80893291237153,85.81687283514528,Puri,66.1,0.661
cyclone,19.78777336443559,85.85596148624136,Puri,65.87,0.659
cyclone,19.816117756501466,85.8356888616716,Puri,68.24,0.682
cyclone,19.83137741906898,85.83364995086855,Puri,65.87,0.659
cyclone,19.152813747291646,83.43753009430792,Rayagada,58.55,0.586
cyclone,19.14764840048019,83.41632676548011,Rayagada,57.01,0.57
cyclone,19.167233668121487,83.44617290326623,Rayagada,55.54,0.555
cyclone,19.166456057423332,83.39993689466478,Rayagada,56.13,0.561
cyclone,21.47438754464723,83.96727754235856,Sambalpur,43.32,0.433
cyclone,21.459270399806186,83.97015310128101,Sambalpur,44.27,0.443
cyclone,21.49034178769528,83.98105378518802,Sambalpur,43.75,0.438
cyclone,21.496773169214343,83.96510986109362,Sambalpur,39.2,0.392
cyclone,20.848105711004788,83.90005595390335,Subarnapur,41.56,0.416
cyclone,20.823904267664368,83.8952646783598,Subarnapur,41.72,0.417
cyclone,20.870938310054896,83.85824700691849,Subarnapur,38.3,0.383
cyclone,20.843313040962887,83.91732783630476,Subarnapur,44.21,0.442
cyclone,22.098632732325264,84.02346130834377,Sundargarh,41.06,0.411
cyclone,22.09931432805061,83.99565365256194,Sundargarh,41.42,0.414
cyclone,22.096231198285174,84.04538434314244,Sundargarh,39.64,0.396
cyclone,22.14757202003082,84.04813519387776,Sundargarh,41.05,0.41
