state,district,latitude,longitude,water_bodies_count,coastal_exposure,pre_monsoon_water_table_m_bgl,post_monsoon_water_table_m_bgl,seasonal_rise_m,monsoon_rainfall_mm,river_proximity_km,urban_drainage_stress,wetland_buffer_index,rainfall_scenario,flood_risk_score,state_dummy,latitude_dummy,longitude_dummy,coastal_exposure_dummy,pre_monsoon_water_table_m_bgl_dummy,post_monsoon_water_table_m_bgl_dummy,seasonal_rise_m_dummy,monsoon_rainfall_mm_dummy,river_proximity_km_dummy,urban_drainage_stress_dummy,wetland_buffer_index_dummy
Odisha,Angul,20.89133,85.0315,75547,0,3.3,1.97,1.3299999999999998,120.0,6.36,0.781,0.19,normal,29.63,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.8263,85.30895,90464,0,2.47,1.07,1.4000000000000001,120.0,15.65,0.715,0.244,normal,35.92,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.5754,84.95586,91349,0,4.37,3.58,0.79,120.0,12.13,0.273,0.422,normal,31.62,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,21.02944,85.05265,98413,0,7.51,6.49,1.0199999999999996,120.0,4.44,0.78,0.46,normal,32.07,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.96209,85.09126,80839,0,2.11,0.45,1.66,120.0,12.31,0.295,0.462,normal,31.73,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.84573,85.13415,93120,0,5.01,2.21,2.8,120.0,4.28,0.319,0.75,normal,38.95,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.74883,85.0961,94455,0,7.06,6.27,0.79,120.0,10.88,0.522,0.852,normal,30.33,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.88899,85.14301,99193,0,7.11,5.85,1.2600000000000007,120.0,12.61,0.805,0.143,normal,39.46,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.83335,85.06419,98611,0,6.51,4.75,1.7599999999999998,120.0,7.33,0.597,0.786,normal,34.6,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.7379,85.05108,80293,0,3.6,2.34,1.2600000000000002,120.0,15.5,0.816,0.453,normal,31.19,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.94384,85.10431,88682,0,4.9,1.91,2.99,120.0,1.24,0.474,0.481,normal,38.12,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.52179,85.02215,87455,0,6.91,5.04,1.87,120.0,10.93,0.265,0.141,normal,35.6,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.87536,85.05258,73912,0,4.28,3.73,0.5500000000000003,120.0,11.37,0.668,0.728,normal,24.2,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.64683,85.11217,98809,0,3.55,1.08,2.4699999999999998,120.0,15.78,0.397,0.746,normal,38.41,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.76639,85.1267,88715,0,2.08,0.2,1.8800000000000001,120.0,3.61,0.834,0.781,normal,36.36,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.78824,85.10294,102945,0,7.09,5.03,2.0599999999999996,120.0,8.32,0.587,0.56,normal,41.15,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,21.0147,85.06121,78725,0,6.93,4.19,2.7399999999999993,120.0,11.26,0.608,0.377,normal,36.5,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.85074,85.27607,80668,0,8.78,7.08,1.6999999999999993,120.0,9.52,0.645,0.437,normal,31.42,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,21.08196,85.15129,90539,0,8.3,7.04,1.2600000000000007,120.0,5.21,0.705,0.433,normal,33.65,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.78288,85.19471,98097,0,5.85,4.16,1.6899999999999995,120.0,13.05,0.259,0.326,normal,34.59,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.77298,85.11927,90742,0,3.92,1.11,2.8099999999999996,120.0,11.36,0.497,0.285,normal,39.22,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Angul,20.79011,84.95191,90982,0,1.75,0.2,1.55,120.0,14.94,0.654,0.564,normal,34.18,Odisha,20.84,85.1,0,7.13,5.57,1.55,1727.0,11.22,0.307,0.891
Odisha,Balangir,20.60645,83.59847,74826,0,5.68,3.76,1.92,120.0,3.32,0.492,0.784,normal,33.56,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.54711,83.24676,91289,0,3.87,1.3,2.5700000000000003,120.0,1.88,0.586,0.373,normal,40.43,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.70884,83.5515,77936,0,3.93,3.4,0.5300000000000002,120.0,13.09,0.79,0.186,normal,27.15,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
